,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
999,241853,0,0.338,0.803,-5.412,0.0413,0.0187,0.0,0.136,0.4,151.994,pop
1000,220734,0,0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,pop
1001,263373,1,0.749,0.925,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,hip hop
1002,294573,1,0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,pop
1003,206066,0,0.791,0.59,-9.206,0.0793,0.0994,0.00203,0.065,0.714,119.951,pop
1008,234653,0,0.791,0.754,-3.729,0.0569,0.00446,0.0,0.163,0.425,125.014,pop
1010,217036,0,0.817,0.939,-6.079,0.28,0.0798,0.441,0.431,0.599,128.0,pop
1018,184573,0,0.799,0.783,-3.896,0.0322,0.0346,0.0186,0.0757,0.586,127.041,pop
1022,248133,1,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,hip hop
1023,274213,0,0.623,0.793,-6.63,0.0462,0.000397,0.0015,0.375,0.36,98.998,pop
1037,217866,0,0.498,0.59,-4.721,0.032,0.511,0.0,0.107,0.0784,145.867,pop
1038,168213,0,0.63,0.91,-2.919,0.144,0.0287,0.0,0.196,0.743,116.98,pop
1040,220640,0,0.824,0.836,-5.903,0.0404,0.00521,0.000817,0.112,0.716,122.014,pop
1044,227320,0,0.438,0.672,-4.706,0.0429,0.0055,0.0,0.0583,0.457,185.934,pop
1050,216200,0,0.703,0.81,-4.874,0.0424,0.000315,0.0,0.216,0.726,102.978,pop
1054,214240,0,0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,pop
1068,289359,0,0.514,0.83,-6.077,0.044,0.0378,1.43e-06,0.122,0.138,100.631,pop
1084,253906,1,0.637,0.69,-3.214,0.0693,0.417,0.0,0.211,0.103,140.329,hip hop
1087,227741,0,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,pop
1093,293026,0,0.529,0.67,-4.663,0.0303,0.117,0.0,0.334,0.286,141.893,pop
1095,212506,0,0.589,0.893,-2.948,0.0397,0.0273,0.0,0.343,0.94,92.011,pop
1096,226000,0,0.443,0.683,-5.521,0.0343,0.0198,5.26e-06,0.313,0.447,81.986,pop
1101,201493,0,0.722,0.761,-4.459,0.0475,0.0117,0.0,0.315,0.624,128.044,pop
1103,227893,0,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,pop
